latitude,longitude
13.0366995,80.2282826
13.0362075,80.2298707
13.035654,80.2296945
13.0358654,80.2287224
13.0366345,80.228507
13.0374567,80.2284166
13.0407379,80.2310377
13.0412959,80.2289537
13.041168,80.228924
13.0410703,80.2293459
13.0392945,80.2288857
13.040219,80.2291158
13.0430415,80.2293865
13.044492,80.2297715
13.0476602,80.2303773
13.0500292,80.2307327
13.0521815,80.231382
13.0531437,80.2316606
13.0539658,80.2318742
13.0538997,80.2341358
13.04344,80.2322797
13.0438588,80.2295978
13.0470044,80.2360228
13.0465404,80.2382514
13.0484926,80.2305005
13.0493616,80.2306347
13.0509695,80.2309581
13.0515564,80.2311738
13.0538733,80.233051
